[2025-10-08 15:15:24.243] [warning] Frame 976: Invalid point (542.5, -33.0) (out of image bounds), skip drawing.
[2025-10-08 15:15:24.276] [warning] Frame 977: Invalid point (550.6, -14.2) (out of image bounds), skip drawing.
[2025-10-08 15:15:24.312] [warning] Frame 978: Invalid point (558.4, -12.9) (out of image bounds), skip drawing.
[2025-10-08 15:15:24.338] [warning] Frame 979: Invalid point (1542.4, 141.2) (out of image bounds), skip drawing.
[2025-10-08 15:15:24.369] [warning] Frame 980: Invalid point (1554.2, 136.9) (out of image bounds), skip drawing.
[2025-10-08 15:15:24.397] [warning] Frame 981: Invalid point (1560.2, 148.4) (out of image bounds), skip drawing.
[2025-10-08 15:15:24.427] [warning] Frame 982: Invalid point (1557.0, 143.1) (out of image bounds), skip drawing.
[2025-10-08 15:15:24.465] [warning] Frame 983: Invalid point (1560.4, 145.8) (out of image bounds), skip drawing.
[2025-10-08 15:15:24.497] [warning] Frame 984: Invalid point (1547.0, 155.8) (out of image bounds), skip drawing.
[2025-10-08 15:15:24.534] [warning] Frame 985: Invalid point (1544.3, 164.5) (out of image bounds), skip drawing.
[2025-10-08 15:15:24.570] [warning] Frame 986: Invalid point (1534.8, 190.2) (out of image bounds), skip drawing.
[2025-10-08 15:15:24.601] [warning] Frame 987: Invalid point (1496.9, 197.0) (out of image bounds), skip drawing.
[2025-10-08 15:15:24.631] [warning] Frame 988: Invalid point (1499.6, 206.7) (out of image bounds), skip drawing.
[2025-10-08 15:15:24.661] [warning] Frame 989: Invalid point (1483.7, 206.5) (out of image bounds), skip drawing.
[2025-10-08 15:15:24.691] [warning] Frame 990: Invalid point (1483.2, 210.5) (out of image bounds), skip drawing.
[2025-10-08 15:15:24.720] [warning] Frame 991: Invalid point (1480.3, 217.5) (out of image bounds), skip drawing.
[2025-10-08 15:15:24.751] [warning] Frame 992: Invalid point (1469.5, 225.8) (out of image bounds), skip drawing.
[2025-10-08 15:15:24.784] [warning] Frame 993: Invalid point (1456.0, 229.4) (out of image bounds), skip drawing.
[2025-10-08 15:15:24.814] [warning] Frame 994: Invalid point (1442.0, 224.4) (out of image bounds), skip drawing.
[2025-10-08 15:15:24.846] [warning] Frame 995: Invalid point (1451.3, 223.8) (out of image bounds), skip drawing.
[2025-10-08 15:15:24.906] [warning] Frame 996: Invalid point (1447.8, 212.9) (out of image bounds), skip drawing.
[2025-10-08 15:15:24.940] [warning] Frame 997: Invalid point (1449.8, 204.2) (out of image bounds), skip drawing.
[2025-10-08 15:15:24.971] [warning] Frame 998: Invalid point (1495.9, 235.9) (out of image bounds), skip drawing.
[2025-10-08 15:15:25.002] [warning] Frame 999: Invalid point (1476.8, 213.0) (out of image bounds), skip drawing.
[2025-10-08 15:15:25.251] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:15:25.354] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:15:25.465] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:15:25.573] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:15:25.681] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:15:25.782] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:15:25.883] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:15:25.983] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:15:26.085] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:15:26.179] [warning] Frame 1004: Invalid point (1440.4, 242.2) (out of image bounds), skip drawing.
[2025-10-08 15:15:26.502] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:15:26.606] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:15:26.706] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:15:26.807] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:15:26.921] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:15:27.031] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:15:27.131] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:15:27.232] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:15:27.339] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:15:28.285] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:15:28.385] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:15:28.486] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:15:28.587] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:15:29.273] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:15:29.375] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:15:29.475] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:15:29.582] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:15:29.691] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:15:29.793] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:15:29.894] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:15:29.994] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:15:30.110] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:15:30.378] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:15:30.479] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:15:30.579] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:15:30.681] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:15:30.782] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:15:30.884] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:15:30.984] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:15:31.085] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:15:31.187] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:15:31.559] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:15:31.660] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:15:31.771] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:15:31.872] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:15:31.974] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:15:32.075] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:15:32.175] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:15:32.283] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:15:32.384] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:15:32.610] [warning] Frame 1066: Invalid point (-12.3, 387.7) (out of image bounds), skip drawing.
[2025-10-08 15:15:32.644] [warning] Frame 1067: Invalid point (-3.3, 388.8) (out of image bounds), skip drawing.
[2025-10-08 15:15:34.794] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:15:34.895] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:15:34.995] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:15:35.106] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:15:37.027] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:15:37.129] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:15:37.229] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:15:37.330] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:15:37.431] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:15:37.540] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:15:37.641] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:15:37.741] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:15:37.845] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:15:39.036] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:15:39.144] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:15:39.244] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:15:39.345] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:15:41.603] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:15:41.704] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:15:41.805] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:15:41.906] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:15:42.006] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:15:42.107] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:15:42.222] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:15:42.331] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:15:42.432] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:15:44.811] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:15:44.911] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:15:45.012] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:15:45.120] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:15:45.828] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:15:45.929] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:15:46.030] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:15:46.139] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:15:47.064] [warning] Frame 1401: Invalid point (-31.5, 474.7) (out of image bounds), skip drawing.
[2025-10-08 15:15:47.102] [warning] Frame 1402: Invalid point (-57.0, 487.5) (out of image bounds), skip drawing.
[2025-10-08 15:15:47.131] [warning] Frame 1403: Invalid point (-77.8, 486.4) (out of image bounds), skip drawing.
[2025-10-08 15:15:47.444] [warning] Frame 1414: Invalid point (-156.6, 440.8) (out of image bounds), skip drawing.
[2025-10-08 15:15:47.480] [warning] Frame 1415: Invalid point (-70.5, 458.1) (out of image bounds), skip drawing.
[2025-10-08 15:15:47.510] [warning] Frame 1416: Invalid point (-18.6, 437.9) (out of image bounds), skip drawing.
[2025-10-08 15:15:51.096] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:15:51.196] [warning] Failed to get image buffer, retrying...
